Epochs,loss,val_loss
1.0,88045.8882284868,2008.669654107863
2.0,102213.54848951806,2555.205385269657
3.0,265139.31959199416,1913.9839969758063
4.0,192767.73709518657,2597.908431514617
5.0,150172.1546914905,3231.1722608996974
6.0,580423.100150986,5039.306435861895
7.0,129126.99837590598,2501.0167590725805
8.0,181015.3301284988,1874.0222955519152
9.0,46480.22812501232,4029.6726625504034
10.0,77902.17874443794,1703.3728933026714
11.0,46169.761746507946,1198.7921339465727
12.0,51710.246325974564,2171.3707393523187
13.0,36238.384010771995,1966.4935972152218
14.0,365745.5109955346,1810.9739399571572
15.0,42401.89036709587,3337.7169701360885
16.0,162644.28173353945,2349.4295693674394
17.0,97314.16843372257,2561.7088938067036
18.0,265233.6887349593,2201.6620030556955
19.0,54749.02163189395,1728.9534400201612
20.0,209599.78826769587,2629.5272728704635
21.0,105608.18614150783,1918.717993951613
22.0,212775.0138515088,2444.8379772555445
23.0,232442.58349985024,1732.5721789944557
24.0,74223.29567551176,3050.342202463458
25.0,8786.064913725279,2043.7110280682964
26.0,167039.86155111232,1602.8619896673388
27.0,82349.48141396741,1584.3320785030241
28.0,80753.70434702713,1519.3165676978326
29.0,28922.22748339265,1705.5870558215727
30.0,186866.1070770483,1634.405517578125
31.0,67836.49739062968,2510.5295488911293
32.0,68124.79836071994,1582.9341410975303
33.0,66974.77430410839,2788.425324470766
34.0,76963.34595493255,2366.8140987273187
35.0,11704.76378416922,1990.1767381237398
36.0,119251.05488511565,2438.6475987588205
37.0,32846.608570019496,2030.3077589465727
38.0,218896.50633139868,3127.3387175529233
39.0,185980.83717867904,3425.6046969506046
40.0,100720.15413491515,2442.2591985887098
41.0,25607.98052620572,2807.3483138545866
42.0,58734.57082864697,2628.1682680191534
43.0,33699.69610733492,1556.4153422694053
44.0,24081.240767549305,2486.241147933468
45.0,120738.67517639461,1456.5577943863407
46.0,53059.75004370761,2387.995357390373
47.0,128614.8542230755,1412.727326423891
48.0,140081.38522896566,1688.9571356004285
49.0,140813.00807939505,1379.6190815587197
50.0,41447.2798128988,1173.0747621597782
51.0,12449.136526907629,977.1566890593498
52.0,11582.524066988073,1333.2079684349799
53.0,116258.65180728107,1204.721183530746
