Epochs,loss,val_loss
1.0,191433.64618846614,7625.767078845862
2.0,73240.26024244733,9384.479906233004
3.0,104912.9649518052,7190.764050864734
4.0,84035.7013603887,8623.94917025931
5.0,47339.04597640815,11660.426970146731
6.0,56031.66668676469,4299.757767508639
7.0,32311.83085977649,3396.1080576904233
8.0,42232.01693122323,2578.8982670327296
9.0,56587.59871511833,3907.302468863478
10.0,25255.2040069893,1395.986924885422
11.0,28797.81543363993,1456.3962783833003
12.0,23280.86017774348,2672.5528540395244
13.0,18722.885211082732,567.4975998202095
14.0,14412.785535225292,1180.809517541382
15.0,15387.69740701906,1600.4623288266152
16.0,10544.352989657023,1073.7311540559213
17.0,12402.586326742041,681.679497723937
18.0,7728.632275452918,476.6498447298119
19.0,11744.011458467685,1389.0974013145726
20.0,10623.539778684499,876.464762515597
21.0,7313.206784260267,983.8782541564519
22.0,8017.318414318943,558.4724568039187
23.0,5862.062018363088,437.45435831789047
24.0,4586.485487485843,572.5521456911523
25.0,7008.4969088975495,733.5394354283977
26.0,5219.492956281687,315.17262763674375
27.0,5289.2152839322935,731.6301503861258
28.0,4138.660035002785,667.0161753162142
29.0,4977.511566194818,1283.5192503351857
30.0,5666.664585371597,393.12242183094594
31.0,3900.653421689433,188.251546796765
32.0,2881.9365756631714,659.6431305345624
33.0,3360.046794478283,172.39868661232669
34.0,3392.248569610635,146.79148839750894
35.0,3039.622633972085,678.3086070599445
36.0,3011.7614087972274,288.2940156036916
37.0,2750.0943125064678,386.5411476074719
38.0,3249.8058683546697,509.5673060928552
39.0,2951.521023674833,716.3434112369175
40.0,2693.052765691998,140.08948799603914
41.0,1799.0287969898352,148.39613628167766
42.0,2328.0446748510935,131.3082707924766
43.0,1759.525729414006,138.3980687426764
44.0,1245.0125706801384,247.3073051614715
45.0,1633.9113981588655,190.14387659834938
46.0,1281.4198274199443,155.5177766962493
47.0,1251.4972996808226,206.8953283430519
48.0,1046.4608622160088,137.59580872777116
49.0,1070.1718950837455,109.85328019559307
50.0,901.3107607775387,228.6742186750144
51.0,861.4368015740948,152.37836939604472
52.0,896.1668478374173,174.739502046857
53.0,887.397493836861,115.94140915569211
54.0,716.6681024998975,138.74280495762002
55.0,918.0340212346748,115.24066509113062
56.0,759.4607072646426,176.16041434497703
57.0,1038.0763552566652,145.7935153969969
58.0,947.8063337122197,183.07544958008688
59.0,835.067124062874,138.586120798791
60.0,904.2424697122935,143.9585734324166
61.0,914.8554219249893,172.16121266826144
62.0,1015.7626973507155,107.71768179689187
63.0,708.8335906097079,165.4263454658893
64.0,969.6787681647327,280.4874782362099
65.0,1025.973227765136,171.113905005239
66.0,825.0982449596195,168.18200360218339
67.0,682.4911607463824,149.7946804760361
68.0,927.2138096732084,534.4856113251255
69.0,908.1650463624848,179.53592019316667
70.0,733.1457267876323,113.1420803787704
71.0,988.8984496038267,148.07354143082654
72.0,741.6597473134279,279.88019066745437
73.0,859.7898778755368,195.94580037117248
74.0,755.8947760739765,111.4024699425679
75.0,594.8803827369645,234.45193510736564
76.0,962.8202949781816,268.02396275071436
77.0,925.2432155135276,125.15125473448161
78.0,826.6285374438162,123.55817100108966
79.0,914.3126611260608,103.01070864511202
80.0,736.7558229629515,319.2183825627354
81.0,745.0213725094344,143.472398920501
82.0,992.1855886686697,167.25705353244052
83.0,840.7346425139527,116.73028793705983
84.0,688.1159458503663,139.23187770604295
85.0,778.0684664021837,122.3711833421733
86.0,718.2763416194902,218.69314126843895
87.0,814.5478277466233,142.78469055816282
88.0,801.6520369016615,317.7778781239627
89.0,1012.7714642395058,99.46786889378177
90.0,812.7333780665736,136.65476633369207
91.0,703.5381237125898,151.09316130248305
92.0,908.5998149546627,125.61397692502415
93.0,708.3572200321064,245.42676787306837
94.0,739.1392836721088,118.63210165015505
95.0,785.749404143445,287.52648881258546
96.0,902.131408000854,194.62809188682647
97.0,724.3356243878715,129.84886197943746
98.0,794.7809930012864,154.81741090476254
99.0,754.8391132218346,150.7148871127681
100.0,880.1748018953889,119.24546693480164
101.0,744.4126671225396,158.28696086445152
102.0,857.3910880492407,115.2100721349001
103.0,753.8786026169159,112.40777198316985
104.0,950.9510766197923,229.00182909803192
105.0,654.9634981040211,156.5034755826881
106.0,892.0611465884201,97.7858603120857
107.0,743.4292387738001,170.09607973237888
108.0,880.8162723028715,155.09824651557525
109.0,890.1512115439948,136.324313727858
110.0,610.7835470542145,118.11128760348326
111.0,809.5046245133561,132.2813065828861
112.0,798.2435160227718,106.33614838919678
113.0,681.8522306346056,176.81531412765625
114.0,737.4941842430557,126.21556023938716
115.0,635.6167534919127,230.36115059267996
